p,instanceCount
http://dbpedia.org/ontology/wikiPageRevisionID,17654483
http://www.w3.org/ns/prov#wasDerivedFrom,17653866
http://www.w3.org/2000/01/rdf-schema#label,16065281
http://purl.org/dc/elements/1.1/language,13908708
http://xmlns.com/foaf/0.1/isPrimaryTopicOf,13908708
http://xmlns.com/foaf/0.1/primaryTopic,13908708
http://dbpedia.org/ontology/wikiPageRedirects,8532733
http://www.w3.org/2004/02/skos/core#broader,4275387
http://dbpedia.org/property/name,3717008
http://xmlns.com/foaf/0.1/name,3580199
http://dbpedia.org/ontology/team,2657679
http://www.w3.org/2004/02/skos/core#prefLabel,2103397
http://dbpedia.org/property/goals,1973302
http://dbpedia.org/property/subdivisionType,1618575
http://dbpedia.org/property/title,1602163
http://dbpedia.org/ontology/careerStation,1439679
http://dbpedia.org/property/date,1399576
http://dbpedia.org/property/birthPlace,1348106
http://dbpedia.org/ontology/birthPlace,1335771
http://dbpedia.org/property/years,1290399
http://dbpedia.org/property/subdivisionName,1281833
http://dbpedia.org/ontology/years,1252637
http://dbpedia.org/property/votes,1144586
http://www.georss.org/georss/point,1141434
http://www.w3.org/2003/01/geo/wgs84_pos#long,1141398
http://www.w3.org/2003/01/geo/wgs84_pos#lat,1141387
http://dbpedia.org/ontology/subdivision,1060520
http://dbpedia.org/property/birthDate,1037976
http://dbpedia.org/property/location,976264
http://dbpedia.org/property/caption,926703
http://dbpedia.org/property/clubs,908305
http://dbpedia.org/ontology/numberOfGoals,897508
http://dbpedia.org/ontology/numberOfMatches,878187
http://dbpedia.org/ontology/birthDate,873405
http://dbpedia.org/property/percentage,870788
http://dbpedia.org/property/candidate,863996
http://dbpedia.org/property/team,786033
http://dbpedia.org/property/caps,732381
http://dbpedia.org/property/report,731144
http://dbpedia.org/ontology/country,722763
http://dbpedia.org/property/length,714923
http://dbpedia.org/property/rd1Team,709748
http://xmlns.com/foaf/0.1/homepage,662139
http://dbpedia.org/property/type,606982
http://dbpedia.org/property/stadium,576319
http://dbpedia.org/property/attendance,534104
http://dbpedia.org/ontology/utcOffset,527917
http://dbpedia.org/property/genre,523317
http://dbpedia.org/property/occupation,501025
http://dbpedia.org/property/country,489008
http://dbpedia.org/ontology/currentMember,470306
http://dbpedia.org/ontology/location,465229
http://dbpedia.org/property/referee,460521
http://dbpedia.org/ontology/type,444784
http://dbpedia.org/property/party,430032
http://dbpedia.org/ontology/timeZone,422224
http://dbpedia.org/ontology/occupation,418525
http://dbpedia.org/property/writer,417531
http://dbpedia.org/property/deathPlace,417056
http://dbpedia.org/property/rd2Team,416754
http://dbpedia.org/ontology/title,409834
http://dbpedia.org/property/deathDate,408971
http://dbpedia.org/property/starring,401816
http://dbpedia.org/property/round,398819
http://dbpedia.org/property/label,394736
http://dbpedia.org/ontology/deathPlace,390284
http://dbpedia.org/property/settlementType,389541
http://dbpedia.org/property/score,384991
http://dbpedia.org/property/pushpinMap,381059
http://dbpedia.org/property/spouse,377701
http://dbpedia.org/property/no,368378
http://dbpedia.org/ontology/squadNumber,356448
http://dbpedia.org/property/website,337986
http://dbpedia.org/property/utcOffset,331530
http://dbpedia.org/property/authority,331360
http://dbpedia.org/ontology/activeYearsStartYear,331230
http://dbpedia.org/ontology/starring,323221
http://dbpedia.org/property/timezone,321895
http://dbpedia.org/ontology/termPeriod,318414
http://dbpedia.org/ontology/populationTotal,317274
http://dbpedia.org/property/position,316907
http://dbpedia.org/ontology/deathDate,314649
http://dbpedia.org/property/change,307359
http://dbpedia.org/property/nationality,306432
http://dbpedia.org/ontology/position,304554
http://dbpedia.org/property/termStart,304113
http://dbpedia.org/property/time,302941
http://dbpedia.org/property/producer,297962
http://dbpedia.org/ontology/genre,297102
http://dbpedia.org/property/populationTotal,287841
http://dbpedia.org/property/populationAsOf,286047
http://dbpedia.org/property/year,275765
http://www.w3.org/2000/01/rdf-schema#seeAlso,271189
http://dbpedia.org/ontology/office,269949
http://dbpedia.org/property/desc,265959
http://dbpedia.org/property/officialName,262587
http://dbpedia.org/property/predecessor,260862
http://dbpedia.org/ontology/elevation,259825
http://dbpedia.org/property/office,259043
http://dbpedia.org/property/termEnd,258674
http://dbpedia.org/property/rd1Score,256237
http://dbpedia.org/ontology/height,254334
http://dbpedia.org/property/genus,251049
http://dbpedia.org/property/imageCaption,246703
http://dbpedia.org/property/nativeName,242358
http://dbpedia.org/property/successor,237834
http://dbpedia.org/property/almaMater,236940
http://dbpedia.org/ontology/birthYear,236823
http://dbpedia.org/ontology/predecessor,234505
http://dbpedia.org/property/species,233235
http://dbpedia.org/property/id,230242
http://dbpedia.org/property/populationDensityKm,229331
http://dbpedia.org/ontology/successor,229028
http://dbpedia.org/ontology/postalCode,227108
