NAMESPACE,PREFIX
http://dbpedia.org/property/18,ns0
http://dbpedia.org/property/17,ns1
http://dbpedia.org/property/sequencer/,ns2
http://dbpedia.org/property/16,ns3
http://dbpedia.org/property/capacityBbl/,ns4
http://dbpedia.org/property/15,ns5
http://dbpedia.org/property/14,ns6
http://dbpedia.org/property/venue(s),ns7
http://dbpedia.org/property/villageCode(census2011),ns8
http://dbpedia.org/property/13,ns9
http://dbpedia.org/property/12,ns10
"http://dbpedia.org/property/quererKkeos,",ns11
http://dbpedia.org/property/11,ns12
http://dbpedia.org/property/chairperson(municipalCorporation),ns13
http://dbpedia.org/property/incident(s),ns14
http://dbpedia.org/property/10,ns15
http://dbpedia.org/property/1983,ns16
http://dbpedia.org/property/nativeName(malay),ns17
http://dbpedia.org/property/1.,ns18
http://dbpedia.org/property/s/,ns19
http://dbpedia.org/property/1986,ns20
http://dbpedia.org/property/weight(inBattery),ns21
http://dbpedia.org/property/1500,ns22
http://dbpedia.org/property/1984,ns23
http://dbpedia.org/property/principalManuscript(s),ns24
"http://dbpedia.org/property/artistBiographiesForBruceAndNormanYonemoto(i.a.3165)IsInTheMuseum'sGeneralExhibitionDocumentation,",ns25
http://dbpedia.org/property/pantothenicAcid(b5),ns26
http://dbpedia.org/property/s&,ns27
http://dbpedia.org/property/hangl/chosn',ns28
"http://dbpedia.org/property/2009,2010,",ns29
"http://dbpedia.org/property/circulation15,000",ns30
http://dbpedia.org/property/height(inch),ns31
http://dbpedia.org/property/publisher/,ns32
http://dbpedia.org/property/29,ns33
http://dbpedia.org/property/28,ns34
http://dbpedia.org/property/27,ns35
http://dbpedia.org/property/26,ns36
http://dbpedia.org/property/peakOfProductionGasMmcuft/,ns37
http://dbpedia.org/property/1990,ns38
http://dbpedia.org/property/25,ns39
http://dbpedia.org/property/spouse(s),ns40
"http://dbpedia.org/property/%22%7D%5CnewStaff%5CrelativeC'%7B%5CkeyC%5Cmajor%5CclefBass%5Ctime8/4AD,GC,FB,EA,%7D%3E%3E%7D%5Clayout%7B%5Ccontext%7B%5Cscore%5C",ns41
http://dbpedia.org/property/24,ns42
http://dbpedia.org/property/sodium(inMg),ns43
http://dbpedia.org/property/23,ns44
http://dbpedia.org/property/maximumPressure(saami),ns45
http://dbpedia.org/property/22,ns46
http://dbpedia.org/property/cat+,ns47
http://dbpedia.org/property/1994,ns48
http://dbpedia.org/property/21,ns49
http://dbpedia.org/property/member',ns50
http://dbpedia.org/property/1993,ns51
http://dbpedia.org/property/20,ns52
http://dbpedia.org/property/1992,ns53
http://dbpedia.org/property/1991,ns54
http://dbpedia.org/property/2.,ns55
http://dbpedia.org/property/1998,ns56
http://dbpedia.org/property/t/,ns57
http://dbpedia.org/property/1997,ns58
http://dbpedia.org/property/1996,ns59
http://dbpedia.org/property/1995,ns60
http://dbpedia.org/property/internationalCup(s)AfcCup(playOffStage),ns61
http://dbpedia.org/property/1989,ns62
http://dbpedia.org/property/t&,ns63
http://dbpedia.org/property/t$,ns64
http://dbpedia.org/property/lyrics&,ns65
http://dbpedia.org/property/player.php%3F,ns66
http://dbpedia.org/property/trainNumber(s),ns67
http://dbpedia.org/property/19,ns68
"http://dbpedia.org/property/europe,MiddleEast&",ns69
http://dbpedia.org/property/%3C/nowiki%3E,ns70
"http://dbpedia.org/property/deputyMayor,",ns71
