prefix,iri
http://dbpedia.org/property/18,nss191
http://dbpedia.org/property/17,nss54
http://dbpedia.org/property/sequencer/,nss310
http://dbpedia.org/property/16,nss226
http://dbpedia.org/property/capacityBbl/,nss414
http://dbpedia.org/property/15,nss102
http://dbpedia.org/property/14,nss146
http://dbpedia.org/property/venue(s),nsi632
http://dbpedia.org/property/villageCode(census2011),nsi880
http://dbpedia.org/property/13,nss39
http://dbpedia.org/property/12,nss81
http://dbpedia.org/property/quererKkeos,,nss387
http://dbpedia.org/property/11,nss198
http://dbpedia.org/property/chairperson(municipalCorporation),nsi711
http://dbpedia.org/property/incident(s),nsi846
http://dbpedia.org/property/10,nss74
http://dbpedia.org/property/1983,nss90
http://dbpedia.org/property/nativeName(malay),nsi931
http://dbpedia.org/property/1.,nsi839
http://dbpedia.org/property/s/,nss311
http://dbpedia.org/property/1986,nss299
http://dbpedia.org/property/weight(inBattery),nsi731
http://dbpedia.org/property/1500,nss305
http://dbpedia.org/property/1984,nss520
http://dbpedia.org/property/principalManuscript(s),nsi719
http://dbpedia.org/property/artistBiographiesForBruceAndNormanYonemoto(i.a.3165)IsInTheMuseum'sGeneralExhibitionDocumentation,,nsi726
http://dbpedia.org/property/pantothenicAcid(b5),nsi899
http://dbpedia.org/property/s&,nss116
http://dbpedia.org/property/hangl/chosn',nsi739
http://dbpedia.org/property/2009,2010,,nsi727
http://dbpedia.org/property/circulation15,000,nss434
http://dbpedia.org/property/height(inch),nsi670
http://dbpedia.org/property/publisher/,nss195
http://dbpedia.org/property/29,nss306
http://dbpedia.org/property/28,nss49
http://dbpedia.org/property/27,nss223
http://dbpedia.org/property/peakOfProductionGasMmcuft/,nss101
http://dbpedia.org/property/26,nss105
http://dbpedia.org/property/25,nss257
http://dbpedia.org/property/1990,nss404
http://dbpedia.org/property/spouse(s),nsi652
http://dbpedia.org/property/%22%7D%5CnewStaff%5CrelativeC'%7B%5CkeyC%5Cmajor%5CclefBass%5Ctime8/4AD,GC,FB,EA,%7D%3E%3E%7D%5Clayout%7B%5Ccontext%7B%5Cscore%5C,nsi746
http://dbpedia.org/property/24,nss35
http://dbpedia.org/property/sodium(inMg),nsi957
http://dbpedia.org/property/23,nss139
http://dbpedia.org/property/maximumPressure(saami),nsi611
http://dbpedia.org/property/22,nss22
http://dbpedia.org/property/cat+,nss485
http://dbpedia.org/property/21,nss95
http://dbpedia.org/property/1994,nss445
http://dbpedia.org/property/member',nsi700
http://dbpedia.org/property/20,nss67
http://dbpedia.org/property/1993,nss550
http://dbpedia.org/property/1992,nss133
http://dbpedia.org/property/1991,nss261
http://dbpedia.org/property/2.,nss540
http://dbpedia.org/property/t/,nss65
http://dbpedia.org/property/1998,nss477
http://dbpedia.org/property/1997,nss19
http://dbpedia.org/property/1996,nss179
http://dbpedia.org/property/1995,nss322
http://dbpedia.org/property/internationalCup(s)AfcCup(playOffStage),nsi767
http://dbpedia.org/property/1989,nss458
http://dbpedia.org/property/t&,nss454
http://dbpedia.org/property/t$,nsi937
http://dbpedia.org/property/lyrics&,nss119
http://dbpedia.org/property/player.php%3F,nss71
http://dbpedia.org/property/trainNumber(s),nsi651
http://dbpedia.org/property/europe,MiddleEast&,nss247
http://dbpedia.org/property/19,nss401
http://dbpedia.org/property/%3C/nowiki%3E,nss20
http://dbpedia.org/property/deputyMayor,,nss423
http://dbpedia.org/property/gomez&Silk%22thisSamdhiIsAtTheSameTimeTheCognitiveExperienceOfEmptiness,TheAttainmentOfTheAttributesOfBuddhahood,AndThePerformanceOfAVarietyOfPracticesOrDailyActivitiesOfABodhisattvaincludingServiceAndAdorationAtTheFeetOfAllBuddhas.TheWordSamdhiIsAlsoUsedToMeanTheStraItself.Consequently,WeCanSpeakOfAnEquation,Stra%3Cnowiki%3E,nss253
http://dbpedia.org/property/captainsSouravGanguly(india),InzamamUlHaq(pakistan).,nsi875
http://dbpedia.org/property/previousYear',nsi619
http://dbpedia.org/property/.%22%7D%7D%5Clayout%7B%5Ccontext%7B%5Cscore%5ComitBarnumber%7D,nss372
http://dbpedia.org/property/1958,nss494
http://dbpedia.org/ontology/Work/,nsi592
http://dbpedia.org/property/layyah%5D%5D,nss282
http://dbpedia.org/property/8.08.,nsi836
http://dbpedia.org/property/officer(ceo),nsi855
http://dbpedia.org/property/boats&,nss373
http://dbpedia.org/property/pressureMbar/,nss137
http://dbpedia.org/property/''online''editor',nsi925
http://dbpedia.org/property/dlf/krf/,nss83
http://dbpedia.org/property/,VideoRecordingQvga(320x240)2,nsi906
http://dbpedia.org/property/r/,nss88
http://dbpedia.org/property/captain/,nss26
http://dbpedia.org/property/%5C011,nss213
http://dbpedia.org/property/1976,nss361
http://dbpedia.org/property/keyPeople(bsc),nsi787
http://dbpedia.org/property/musicAdapted,,nss470
http://www.georss.org/georss/,nsi590
http://dbpedia.org/ontology/PopulatedPlace/,nsi593
http://dbpedia.org/property/a%5D%5D%3C/sup%3E%3Cbr%3E%22songOfTheGermans%22%3Cbr%3E(19521990)%3Cbr%3E%3C,nsi963
http://dbpedia.org/property/mane/,nss535
http://dbpedia.org/property/shipBeam/,nss356
http://dbpedia.org/property/social/,nss228
http://dbpedia.org/property/director(miniRugby),nsi944
http://dbpedia.org/property/53,nss329
http://dbpedia.org/property/52,nss314
http://dbpedia.org/property/51,nss302
http://dbpedia.org/property/50,nss147
http://dbpedia.org/property/populationAsOf18+,nss481
http://dbpedia.org/property/w/,nss504
http://dbpedia.org/property/5+,nss201
http://dbpedia.org/property/dlf/sp/,nss301
http://dbpedia.org/property/constructor(s),nsi718
http://dbpedia.org/property/informal%25,nss196
http://dbpedia.org/property/formerDepotCodes),nsi908
http://dbpedia.org/property/planeOrCopter%3F,nss382
http://dbpedia.org/property/ground(s),nsi725
http://dbpedia.org/property/airport&,nss175
http://dbpedia.org/property/67,nss379
http://dbpedia.org/property/20092013,nss96
http://dbpedia.org/property/granTan%5D,nss240
http://dbpedia.org/property/socialMedia/Design/,nss104
http://dbpedia.org/property/populationTotal(town+SurroundingAreas),nsi819
http://dbpedia.org/property/63,nss183
http://dbpedia.org/property/diskLoadingLb/,nss236
http://dbpedia.org/property/62,nss171
http://dbpedia.org/property/6.06.,nsi834
http://dbpedia.org/property/61,nss154
http://dbpedia.org/property/tpb%23,nss273
http://dbpedia.org/property/populationAsOf19,,nsi896
http://dbpedia.org/property/either%22igumen%22MeansSmthElseInRussianThanInEnglish,,nss176
http://dbpedia.org/property/author(s),nsi631
http://dbpedia.org/property/rd1Score06''',nsi721
http://dbpedia.org/property/pushpinMapsize1%60,nss51
http://dbpedia.org/property/dlf/h/,nss59
http://dbpedia.org/property/150,nss298
http://dbpedia.org/property/caps(goals),nsi710
http://dbpedia.org/property/33,nss553
http://dbpedia.org/property/32,nss206
http://dbpedia.org/property/mass(jupiterMasses),nsi912
http://dbpedia.org/property/31,nss82
http://dbpedia.org/property/30,nss245
http://dbpedia.org/property/spouse(ex),nsi815
http://dbpedia.org/property/'''day''',nsi876
http://dbpedia.org/property/u+,nss313
http://dbpedia.org/property/1999,nss367
http://dbpedia.org/property/9000,nss180
http://dbpedia.org/property/speedKm/,nss411
http://dbpedia.org/property/otherName'',nsi830
http://dbpedia.org/property/writer(s),nsi840
http://dbpedia.org/property/president',nsi804
http://dbpedia.org/property/president&,nss129
http://dbpedia.org/property/'''onlineServices''',nsi895
http://dbpedia.org/property/commercial%3F,nss118
http://dbpedia.org/property/49,nss291
http://dbpedia.org/property/vitc(inMg),nsi960
http://dbpedia.org/property/chiefOfficer&,nss56
http://dbpedia.org/property/president/,nss229
http://dbpedia.org/property/43,nss109
http://dbpedia.org/property/women's7',nsi780
http://dbpedia.org/property/principalConductor''',nsi623
http://dbpedia.org/property/42,nss435
http://dbpedia.org/property/41,nss421
http://dbpedia.org/property/club/,nss174
http://dbpedia.org/property/turbo/,nss447
http://dbpedia.org/property/v/,nss239
http://dbpedia.org/property/state/,nss326
http://dbpedia.org/property/afr%25,nss492
http://dbpedia.org/property/scribe(s),nsi653
http://dbpedia.org/property/h/krf/dlf/sp/,nss525
http://dbpedia.org/property/reportedDeath(s),nsi616
http://dbpedia.org/property/7.07.,nsi835
http://dbpedia.org/property/vitb6(inMg),nsi959
http://dbpedia.org/property/in1917UsDollars.TheExchangeRateUsed%3Cnowiki%3E(1,nsi851
http://dbpedia.org/property/lutein+,nss358
http://dbpedia.org/property/chairperson',nsi736
http://dbpedia.org/property/teamManager/,nss225
http://dbpedia.org/property/%7BBreak%7D,nss461
http://dbpedia.org/property/fromterms%23,nss362
http://dbpedia.org/property/headOfLegal/,nss567
http://dbpedia.org/property/1/4,nss250
http://dbpedia.org/property/cost(ntResidentOnly),nsi703
http://dbpedia.org/property/student/,nss317
http://dbpedia.org/property/chairman&,nss166
http://dbpedia.org/property/dlf/h/sp/,nss141
http://dbpedia.org/property/annualRidership(2013),nsi849
http://www.w3.org/ns/prov#,nsi590
http://dbpedia.org/property/tire,F/,nss113
http://dbpedia.org/property/chairman,,nss194
http://dbpedia.org/property/poll%232,nss278
http://dbpedia.org/property/productionGasMmcuft/,nss157
http://dbpedia.org/property/poll%231,nss283
http://dbpedia.org/property/othe%60%60,nss559
http://dbpedia.org/property/leader/,nss397
http://dbpedia.org/property/dryResidue(180DegreesC),nsi882
http://dbpedia.org/property/sibling(s),nsi797
http://dbpedia.org/property/flowrateM3/,nss327
http://dbpedia.org/property/leader',nsi907
http://dbpedia.org/property/chairman/,nss271
http://dbpedia.org/property/bench3F/,nss570
http://dbpedia.org/property/100,nss260
http://dbpedia.org/property/y%25,nss50
http://dbpedia.org/property/''starhorse2FifthExpansion''*FiscalYearEnded31March20102.8&nbsp;billion*FiscalYearEnded31March20112&nbsp;billion*CurrencyConversion**2.8,nsi695
http://dbpedia.org/property/teacher(s),nsi778
http://dbpedia.org/property/easternSuburbs&,nss222
http://dbpedia.org/property/totalGrants&,nss446
http://dbpedia.org/property/subdivisionType2%5D%5D',nsi763
http://dbpedia.org/property/formulaOfLove%3Cnowiki%3Eo+,nss381
http://dbpedia.org/property/totalSeats%25,nss284
http://dbpedia.org/property/''p'',nsi888
http://dbpedia.org/property/5000,nss36
http://dbpedia.org/property/episodes8&nbsp;,nsi712
http://dbpedia.org/property/pub%23,nss554
http://dbpedia.org/property/bench3G/,nss527
